weekdayRate,ppCode,ppName,sunPHRate
$1.50,P0117,PECK SEAH STREET OFF STREET,$0.60
$0.60,P0117,PECK SEAH STREET OFF STREET,$0.60
$0.60,P0117,PECK SEAH STREET OFF STREET,$0.60
$1.20,Q0001,QUEEN STREET ,$0.60
$0.60,Q0001,QUEEN STREET ,$0.60
$0.60,Q0002,QUEEN STREET (ARAB STREET / ROCHOR ROAD),$0.60
$1.40,Q0006,QUEEN STREET OFF STREET,$0.75
$0.75,Q0006,QUEEN STREET OFF STREET,$0.75
$0.60,Q0006,QUEEN STREET OFF STREET,$0.60
$0.60,Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),$0.60
$0.60,Q0008,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),$0.60
$0.60,R0001,RACE COURSE LANE ,$0.60
